Ain't Too Proud—The Life and Times of the Temptations
Aladdin
All My Sons
Anastasia
The Band's Visit
Be More Chill
Beautiful: The Carole King Musical
Beetlejuice
The Book of Mormon
Burn This
The Cher Show
Chicago
Choir Boy
Come From Away
Dear Evan Hansen
The Ferryman
Frankie and Johnny in the Clair de Lune
Frozen
Gary: A Sequel to Titus Andronicus
Hadestown
Hamilton
"Harry Potter and the Cursed Child, Parts One and Two"
Hillary and Clinton
Ink
King Kong
King Lear
Kinky Boots
"Kiss Me, Kate"
The Lion King
Mean Girls
Moulin Rouge! The Musical
My Fair Lady
Network
Oklahoma!
The Phantom of the Opera
Pretty Woman: The Musical
The Prom
To Kill A Mockingbird
Tootsie
True West
Waitress
What the Constitution Means to Me
Wicked
